Occupation,Industry,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
First-line supervisors of production and operating workers,Production,783,875,650,924,133,623
"Office clerks, general",Office,929,620,156,609,773,622
First-line supervisors of retail sales workers,Sales,2326,711,1296,825,1030,614
Customer service representatives,Office,1760,621,611,690,1149,604
"Inspectors, testers, sorters, samplers, and weighers",Production,701,710,440,844,260,583
"Metal workers and plastic workers, all other",Production,351,639,278,678,72,581
Bus drivers,Transportation,323,615,184,681,138,572
First-line supervisors of housekeeping and janitorial workers,Groundskeeping,172,620,108,700,64,571
Receptionists and information clerks,Office,852,575,72,619,781,569
"Shipping, receiving, and traffic clerks",Office,502,591,354,604,148,566
"Electrical, electronics, and electromechanical assemblers",Production,123,554,59,566,64,544
Recreation and fitness workers,Service,185,555,78,684,107,526
Security guards and gaming surveillance officers,Protective Service,708,567,555,592,153,515
Miscellaneous assemblers and fabricators,Production,950,581,573,637,377,512
"Food processing workers, all other",Production,132,594,82,679,50,508
Stock clerks and order fillers,Office,1027,520,651,537,376,506
"Production workers, all other",Production,846,625,643,666,203,501
Retail salespersons,Sales,1918,590,1159,694,759,494
Bartenders,Culinary,252,521,110,569,142,493
Chefs and head cooks,Culinary,340,619,285,656,55,492
Packaging and filling machine operators and tenders,Production,239,518,118,605,120,482
Bakers,Production,150,505,69,570,80,475
"Hotel, motel, and resort desk clerks",Office,127,481,58,486,69,467
"Butchers and other meat, poultry, and fish processing workers",Production,247,542,187,582,60,463
Laundry and dry-cleaning workers,Production,133,466,53,487,80,460
First-line supervisors of food preparation and serving workers,Culinary,378,498,156,621,222,458
"Nursing, psychiatric, and home health aides",Healthcare Support,1400,467,163,526,1237,457
"Laborers and freight, stock, and material movers, hand",Transportation,1433,526,1214,547,219,455
Personal care aides,Service,680,462,128,537,552,441
Janitors and building cleaners,Groundskeeping,1536,507,1111,547,425,429
"Packers and packagers, hand",Transportation,385,438,158,462,227,424
Waiters and waitresses,Culinary,868,451,305,501,563,411
Maids and housekeeping cleaners,Groundskeeping,876,416,134,475,742,407
Cashiers,Sales,1342,415,411,471,931,405
Cooks,Culinary,1302,416,808,427,494,400
Miscellaneous agricultural workers,Agricultural,613,445,511,460,102,398
Food preparation workers,Culinary,366,402,174,414,192,388
"Combined food preparation and serving workers, including fast food",Culinary,173,391,67,401,107,380
